,word,word_len
126878,A,1
72673,AA,2
131133,AAA,3
76320,AARP,4
60734,AAS,3
60742,AB,2
72680,ABB,3
54694,ABC,3
54696,ABCs,4
60744,ABLS,4
26017,ABM,3
103948,AC,2
74183,ACC,3
73992,ACE,3
73988,ACLANT,6
50597,ACTH,4
197339,AD,2
136399,ADA,3
130692,ADD,3
50652,ADH,3
130694,ADHD,4
125164,ADP,3
29622,ADPS,4
73569,AEC,3
95902,AElfred,7
74190,AFISR,5
74449,AFL,3
139184,AFP,3
25711,AFRL,4
74185,AFSPC,5
26229,AHPCRC,6
75669,AI,2
72691,AIAI,4
131335,AIDS,4
80356,AK,2
80342,AL,2
62518,ALGOL,5
72721,ALIR,4
131127,ALS,3
128844,ALT,3
57349,AM,2
25847,AMEX,4
136401,AMP,3
60819,AMusD,5
60736,AN,2
74187,ANG,3
72749,ANO,3
55847,ANOVA,5
51399,ANS,3
26091,APC,3
80380,AR,2
75240,ARDA,4
130681,ARDS,4
75679,ARNG,4
79858,AS,2
72717,ASALA,5
197681,ASAP,4
57884,ASCII,5
76322,ASEAN,5
62315,ASL,3
73713,ATF,3
28582,ATM,3
136406,ATP,3
126867,AU,2
72961,AUC,3
85763,AWOL,4
80369,AZ,2
26480,AZT,3
78324,Aachen,6
78266,Aalborg,7
78895,Aalost,6
95809,Aalto,5
81348,Aar,3
81347,Aare,4
78265,Aarhus,6
95812,Aaron,5
140913,Ab,2
79228,Abadan,6
58565,Abdias,6
73339,Abecedarian,11
84424,Abel,4
95819,Abelard,7
111549,Abelmoschus,11
79095,Aberdare,8
80984,Aberdeen,8
192582,Aberdonian,10
78060,Abidjan,7
105296,Abies,5
82321,Abila,5
81004,Abilene,7
84751,Abkhas,6
63345,Abkhasian,9
84750,Abkhaz,6
80094,Abkhazia,8
63344,Abkhazian,9
84804,Abnaki,6
85034,Abo,3
62890,Abor,4
85035,Aboriginal,10
85033,Aborigine,9
95822,Abraham,7
11803,Abramis,7
21994,Abrocoma,8
107815,Abronia,7
78568,Abruzzi,7
24758,Abudefduf,9
79704,Abuja,5
81350,Abukir,6
111562,Abutilon,8
80269,Abydos,6
82322,Abyla,5
78388,Abyssinia,9
19177,Abyssinian,10
135671,Ac,2
78700,Acadia,6
85041,Acadian,7
120509,Acalypha,8
119201,Acanthaceae,11
13396,Acanthisitta,12
13389,Acanthisittidae,15
16916,Acanthocephala,14
107873,Acanthocereus,13
24972,Acanthocybium,13
15163,Acanthophis,11
24105,Acanthopterygii,15
19823,Acanthoscelides,15
24929,Acanthuridae,12
24932,Acanthurus,10
78100,Acapulco,8
15404,Acaridae,8
15371,Acarina,7
78505,Accho,5
13600,Accipiter,9
13593,Accipitridae,12
13591,Accipitriformes,15
79456,Accra,5
118511,Acer,4
118508,Aceraceae,9
85315,Achaean,7
85316,Achaian,7
81355,Acheron,7
169134,Acheronian,10
21221,Acherontia,10
169135,Acherontic,10
95824,Acheson,7
20368,Acheta,6
84464,Achilles,8
24765,Achoerodus,10
62731,Achomawi,8
118770,Achras,6
41781,Achromycin,10
19259,Acinonyx,8
119493,Acinos,6
25158,Acipenser,9
25155,Acipenseridae,13
11752,Acnidosporidia,14
106961,Acocanthera,11
106963,Acokanthera,11
81359,Aconcagua,9
106418,Aconitum,8
107108,Acoraceae,9
79792,Acores,6
107106,Acorus,6
78631,Acragas,7
121149,Acrasiomycetes,14
78502,Acre,4
20332,Acrididae,9
13255,Acridotheres,12
37882,Acrilan,7
14125,Acris,5
16515,Acrobates,9
115237,Acrocarpus,10
13087,Acrocephalus,12
108683,Acroclinium,11
116353,Acrocomia,9
16863,Acropora,8
123083,Acrostichum,11
106429,Actaea,6
21253,Actias,6
25595,Actifed,7
16827,Actinaria,9
16834,Actinia,7
16825,Actiniaria,10
113850,Actinidia,9
113848,Actinidiaceae,13
123088,Actiniopteris,13
109960,Actinomeris,11
11270,Actinomycetaceae,16
11267,Actinomycetales,15
11766,Actinomyxidia,13
11396,Actinopoda,10
16821,Actinozoa,9
18067,Actitis,7
78455,Actium,6
41991,Activase,8
58599,Acts,4
34490,Acular,6
83781,Adad,4
80276,Adalia,6
84421,Adam,4
81360,Adams,5
80270,Adana,5
111763,Adansonia,9
83782,Adapa,5
23457,Adapid,6
30985,Adapin,6
140902,Adar,4
25624,Addressograph,13
78775,Adelaide,8
20669,Adelges,7
20667,Adelgidae,9
18437,Adelie,6
81157,Aden,4
106850,Adenanthera,11
95840,Adenauer,8
106973,Adenium,7
22681,Adenota,7
122764,Adiantaceae,11
123090,Adiantum,8
81364,Adige,5
81366,Adirondacks,11
83861,Aditi,5
83862,Aditya,6
108644,Adlumia,7
58102,Adonic,6
106445,Adonis,6
50605,Adrenalin,9
95842,Adrian,6
79265,Adrianople,10
79266,Adrianopolis,12
81370,Adriatic,8
141141,Advent,6
56937,Adventism,9
85051,Adventist,9
33974,Advil,5
80095,Adzhar,6
80096,Adzharia,8
20050,Aedes,5
78445,Aegates,7
81372,Aegean,6
120431,Aegiceras,9
110654,Aegilops,8
16793,Aegina,6
84469,Aegisthus,9
81374,Aegospotami,11
81375,Aegospotamos,12
13731,Aegypiidae,10
13750,Aegypius,8
23259,Aegyptopithecus,15
84465,Aeneas,6
58056,Aeneid,6
83724,Aengus,6
78433,Aeolia,6
192644,Aeolian,7
63335,Aeolic,6
78432,Aeolis,6
84158,Aeolus,6
118942,Aeonium,7
22610,Aepyceros,9
12561,Aepyornidae,11
12559,Aepyorniformes,14
11088,Aerobacter,10
25653,Aertex,6
196252,Aeschylean,10
95845,Aeschylus,9
84201,Aesculapius,11
118722,Aesculus,8
84348,Aesir,5
95846,Aesop,5
84159,Aether,6
108142,Aethionema,10
120621,Aethusa,7
12441,Aetobatus,9
22162,Affirmed,8
85129,Afghan,6
196043,Afghani,7
77787,Afghanistan,11
85130,Afghanistani,12
36276,Aflaxen,7
113703,Aframomum,9
63432,Afrasian,8
81381,Africa,6
84700,African,7
22399,Africander,10
63075,Afrikaans,9
84703,Afrikander,10
196379,Afrikaner,9
49209,Afro,4
63429,Afroasiatic,11
105696,Afrocarpus,10
135970,Ag,2
57760,Aga,3
120039,Agalinis,8
84466,Agamemnon,9
14495,Agamidae,8
15884,Agapornis,9
121346,Agaricaceae,11
121343,Agaricales,10
121348,Agaricus,8
95847,Agassiz,7
119500,Agastache,9
105625,Agathis,7
115083,Agavaceae,9
108009,Agdestis,8
84334,Agdistis,8
95850,Agee,4
13220,Agelaius,8
139042,Agene,5
